Data,Salário mínimo real - R$ - Instituto de Pesquisa Econômica Aplicada (IPEA) - GAC12_SALMINRE12,
1973.11,702.993892307484,
1973.12,698.087458106566,
1974.01,689.046369506123,
1974.02,688.287716745863,
1974.03,664.86287554845,
1974.04,626.547049596021,
1974.05,735.304145202795,
1974.06,724.542736167917,
1974.07,709.728348847915,
1974.08,695.507628822634,
1974.09,684.783248151446,
1974.10,670.491590663383,
1974.11,655.785911910505,
1974.12,706.808418672353,
1975.01,685.690095839571,
1975.02,670.627576604078,
1975.03,660.248816489968,
1975.04,646.020973618605,
1975.05,818.981350559407,
1975.06,799.208078198905,
1975.07,781.223703222969,
1975.08,751.790274967737,
1975.09,737.252893960074,
1975.10,721.312290847424,
1975.11,706.04642225806,
1975.12,694.110656992319,
1976.01,671.51576691567,
1976.02,640.877797060896,
1976.03,623.837656949123,
1976.04,605.182647649766,
1976.05,836.417749046247,
1976.06,819.38208402973,
1976.07,798.132548655515,
1976.08,778.05564596528,
1976.09,756.25976351288,
1976.10,735.036806213438,
1976.11,711.665882209658,
1976.12,696.525768386481,
1977.01,668.752522298058,
1977.02,645.469611496574,
1977.03,625.33762219154,
1977.04,602.623674880686,
1977.05,833.787722502835,
1977.06,816.437936545221,
1977.07,796.490831655228,
1977.08,783.610147474165,
1977.09,771.340677524152,
1977.10,750.959724662741,
1977.11,725.819139626557,
1977.12,708.932877263963,
1978.01,683.522117383616,
1978.02,662.334361280075,
1978.03,641.583997454428,
1978.04,625.517242439168,
1978.05,860.122893140386,
1978.06,831.908069378445,
1978.07,788.418865852481,
1978.08,765.208787238426,
1978.09,749.610071028757,
1978.10,729.150660447229,
1978.11,713.423473591363,
1978.12,699.063258299617,
1979.01,660.542390885917,
1979.02,642.154410615749,
1979.03,620.730134777512,
1979.04,600.028011681047,
1979.05,857.265396349488,
1979.06,832.2981531018,
1979.07,789.967943290171,
1979.08,746.771150427369,
1979.09,700.484498521782,
1979.10,666.722855119836,
1979.11,812.548914530484,
1979.12,777.512366076034,
1980.01,729.635945911335,
1980.02,700.573043555086,
1980.03,666.4300711306,
1980.04,635.603164680685,
1980.05,852.160504111138,
1980.06,807.55619699704,
1980.07,765.354245203512,
1980.08,727.890325218847,
1980.09,696.858718453103,
1980.10,635.558778450298,
1980.11,820.74565289088,
1980.12,768.47527128054,
1981.01,723.54661384095,
1981.02,682.248747390628,
1981.03,647.580986073821,
1981.04,607.832294643853,
1981.05,842.376630329688,
1981.06,801.717611481437,
1981.07,754.898926963833,
1981.08,711.334310496088,
1981.09,675.688011345758,
1981.10,645.839945045547,
1981.11,864.824443333078,
1981.12,818.284718863055,
1982.01,766.804391740975,
1982.02,719.494308842266,
1982.03,683.678405549826,
1982.04,647.128655828932,
1982.05,844.735680513517,
1982.06,788.421293807168,
1982.07,741.054532613364,
1982.08,701.974172641021,
1982.09,673.006430908494,
