country,gdp,gdpyoy,gdpqoq,interest,inflation,jobless,gov_budget,debt_gdp,current_account,currency,population,country.name,continent,region
Tunisia,43,1.3,0.2,4.25,4.0,15.5,-4.7,47.5,-7.6,2.33,11.15,Tunisia,Africa,Northern Africa
Slovenia,43,2.7,1.0,0.0,0.6,10.5,-2.9,83.2,6.9,1.04,2.06,Slovenia,Europe,Southern Europe
Lithuania,41,1.7,0.1,0.0,1.0,7.2,-0.2,42.7,-2.5,1.04,2.92,Lithuania,Europe,Northern Europe
Jordan,38,1.9,NA,3.75,0.5,15.8,-3.5,93.4,-9.0,0.71,9.53,Jordan,Asia,Western Asia
Ghana,38,2.5,0.6,25.5,15.5,5.2,-6.7,67.6,-7.5,4.28,27.41,Ghana,Africa,Western Africa
Serbia,37,2.6,0.0,4.0,1.5,13.8,-2.9,73.4,-4.8,118.43,7.11,Serbia,Europe,Southern Europe
Turkmenistan,37,6.2,NA,NA,7.0,10.5,-1.0,36.5,-11.8,3.41,5.37,Turkmenistan,Asia,Central Asia
Yemen,37,-28.1,NA,15.0,9.49,29.0,-8.0,49.95,-4.5,249.95,26.83,Yemen,Asia,Western Asia
Congo,35,7.7,NA,7.0,9.72,46.1,-6.2,19.69,-4.1,1166.0,71.4,"Congo, the Democratic Republic of the",Africa,Middle Africa
Bolivia,33,3.24,-0.56,1.81,3.88,7.4,-2.54,39.7,-6.5,6.85,10.83,"Bolivia, Plurinational State of",Americas,South America
Bahrain,32,2.5,1.2,1.0,1.9,3.7,-5.0,42.0,3.3,0.38,1.37,Bahrain,Asia,Western Asia
Ivory Coast,32,9.9,NA,4.5,0.4,5.3,-2.2,36.41,-2.5,620.0,22.67,Cote d'Ivoire,Africa,Western Africa
Libya,29,-6.0,NA,3.0,27.4,19.5,-49.1,6.1,-17.5,1.44,6.28,Libya,Africa,Northern Africa
